"Units","scenario","year","market","value"
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"RIairCO2",-0.138965
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"SCCO2 removal",0.00127991
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"SCairCO2",-0.138965
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"SDCO2 removal",0.00126599
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"SDairCO2",-0.138965
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"TNCO2 removal",0.00128337
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"TNairCO2",-0.138965
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"TXCO2 removal",0.00149023
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"TXairCO2",-0.138965
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"UTCO2 removal",0.0013445
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"UTairCO2",-0.138965
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"VACO2 removal",0.00127991
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"VAairCO2",-0.138965
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"VTCO2 removal",0.00107894
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"VTairCO2",-0.138965
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"WACO2 removal",0.00134052
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"WAairCO2",-0.138965
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"WICO2 removal",0.00122864
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"WIairCO2",-0.138965
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"WVCO2 removal",0.00124094
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"WVairCO2",-0.138965
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"WYCO2 removal",0.00138131
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"WYairCO2",-0.138965
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"AKCO2 removal",0.253573
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"AKairCO2",-0.145089
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"ALCO2 removal",0.00195961
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"ALairCO2",-0.145089
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"ARCO2 removal",0.00196816
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"ARairCO2",-0.145089
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"AZCO2 removal",0.00231713
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"AZairCO2",-0.145089
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"CACO2 removal",0.00177718
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"CAairCO2",-0.145089
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"COCO2 removal",0.00232216
